model,question,reference,generated,response_time,rouge1,rouge2,rougeL,semantic_similarity,medical_accuracy,groundedness,overall_accuracy
General_LLM,What causes Type 1 diabetes?,"Type 1 diabetes is caused by autoimmune destruction of pancreatic beta cells, leading to absolute insulin deficiency requiring lifelong insulin therapy.","Type 1 diabetes is caused by an autoimmune response in which the body's immune system attacks and destroys the insulin-producing beta cells in the pancreas. This results in a lack of insulin production, leading to high blood sugar levels.",0.9178531169891357,0.4516129032258065,0.23333333333333334,0.3548387096774194,0.9077231,0.6666666666666666,0.4,0.6072631751978269
General_LLM,How is hypertension diagnosed?,Hypertension is diagnosed when systolic blood pressure is ≥140 mmHg or diastolic blood pressure is ≥90 mmHg on multiple occasions.,"Hypertension is typically diagnosed through the measurement of blood pressure levels. A diagnosis of hypertension is made when a patient consistently has elevated blood pressure readings, typically defined as systolic blood pressure of 130 mmHg or higher and/or diastolic blood pressure of 80 mmHg or higher. Diagnosis may also involve assessing for target organ damage caused by hypertension, such as left ventricular hypertrophy, renal dysfunction, or evidence of atherosclerosis. Additionally, screening for other cardiovascular risk factors, such as dyslipidemia and hyperglycemia, may be performed to assess overall cardiovascular risk.",1.6907281875610352,0.2545454545454545,0.12962962962962962,0.23636363636363633,0.80180514,1.0,0.5846153846153846,0.5632688143036582
General_LLM,What are first-line treatments for hypertension?,"First-line treatments for hypertension include lifestyle modifications and medications such as ACE inhibitors, ARBs, thiazide diuretics, and calcium channel blockers.","The first-line treatment for hypertension typically involves lifestyle changes such as adopting a healthy diet, increasing physical activity, and quitting smoking. If lifestyle modifications are not sufficient, antihypertensive medications may be prescribed. It is important to focus on controlling blood pressure as it is both a chronic risk factor and an acute trigger for cardiovascular events. Therefore, initial efforts should be directed towards blood pressure control in patients with significant elevations in blood pressure.",1.7178924083709717,0.25,0.12765957446808512,0.20833333333333334,0.815911,1.0,0.6935483870967742,0.5593566318353018
General_LLM,What causes myocardial infarction?,"Myocardial infarction is typically caused by atherosclerotic plaque rupture with subsequent thrombosis, leading to coronary artery occlusion and myocardial ischemia.","Myocardial infarction (MI) is caused by irreversible cellular injury resulting from severe and prolonged myocardial ischemia. This ischemia is typically precipitated by an imbalance between myocardial oxygen requirements and myocardial oxygen supply, leading to insufficient delivery of oxygen to meet the heart's metabolic demands. A common cause of myocardial ischemia is the obstruction of one or more epicardial coronary arteries by atheromatous plaque. When acute coronary atherothrombosis occurs, the intracoronary thrombus may partially or completely obstruct the artery, resulting in myocardial infarction. Other factors that can contribute to myocardial infarction include increased myocardial oxygen demand (e.g., during intense psychological stress or fever) or decreased oxygen delivery due to conditions such as anemia, hypoxia, or hypotension.",1.7640011310577393,0.20437956204379562,0.1037037037037037,0.145985401459854,0.7914585,1.0,0.8292682926829268,0.5250287871291168
General_LLM,What is the treatment for STEMI?,"STEMI treatment includes immediate reperfusion with primary PCI or fibrinolytics, dual antiplatelet therapy, anticoagulation, beta-blockers, ACE inhibitors, and statins.","The treatment for STEMI (ST-segment elevation myocardial infarction) involves immediate reperfusion therapy, which can be achieved through either primary percutaneous coronary intervention (PCI) or fibrinolytic therapy. Primary PCI is the preferred method if it can be performed within a timely manner. Additionally, medications such as antiplatelet agents (e.g. aspirin, clopidogrel), anticoagulants (e.g. heparin), beta-blockers, and statins are typically administered to manage STEMI. It is crucial for patients with STEMI to receive prompt and appropriate medical intervention to minimize damage to the heart muscle and improve outcomes.",1.8852531909942627,0.2909090909090909,0.1111111111111111,0.23636363636363633,0.8372952,1.0,0.3,0.58300673419779
General_LLM,What are common causes of pneumonia?,"Common causes of community-acquired pneumonia include Streptococcus pneumoniae, Haemophilus influenzae, Mycoplasma pneumoniae, and Chlamydophila pneumoniae.","Common causes of pneumonia include bacterial infections, viral infections, and fungal infections. Pneumonia can also be caused by aspiration of food, liquid, or vomit into the lungs. Other less common causes include parasitic infections and exposure to certain chemicals or pollutants.",1.2187690734863281,0.2456140350877193,0.10909090909090907,0.2456140350877193,0.76469815,1.0,0.48484848484848486,0.5522164618759824
General_LLM,How is pneumonia treated?,"Pneumonia treatment includes appropriate antibiotics based on severity and likely pathogens, plus supportive care with oxygen therapy and fluid management.","Pneumonia is typically treated with antibiotics, oxygen therapy, and supportive care. In the context provided, hospitals have implemented bundles for ventilator-associated pneumonia that include measures such as ensuring the head of the bed is elevated to improve performance. It is important to follow evidence-based guidelines for the treatment of pneumonia to ensure optimal outcomes for patients.",1.3127899169921875,0.282051282051282,0.07894736842105263,0.12820512820512822,0.83198416,1.0,0.5909090909090909,0.5521593512632907
General_LLM,What causes chronic kidney disease?,"Main causes of chronic kidney disease include diabetes mellitus, hypertension, glomerulonephritis, and polycystic kidney disease.","Chronic kidney disease can be caused by various factors, including hypertension. Patients with elevated blood pressure that is not properly managed can experience damage to their kidneys over time, leading to chronic kidney disease. Additionally, other cardiovascular risk factors such as diabetes, dyslipidemia, and atherosclerosis can also contribute to the development of chronic kidney disease. It is important to address and manage these risk factors through primordial prevention strategies to reduce the burden of chronic diseases, including chronic kidney disease.",1.892390489578247,0.23157894736842105,0.10752688172043012,0.16842105263157897,0.857291,0.8333333333333334,0.6206896551724138,0.5238539616266886
General_LLM,How is CKD managed?,"CKD management includes treating underlying causes, blood pressure control, ACE inhibitor/ARB therapy, dietary modifications, treating complications, and eventual renal replacement therapy.","Chronic Kidney Disease (CKD) is managed in tax-funded and SHI-funded European countries through a combination of home care services organized at the municipal government level, as well as support for informal caregivers. In these systems, the financial costs of caring for adults with CKD in their own homes are substantially less than providing housing, food, and caregiver support in publicly funded homes for the aged or in nursing homes. Additionally, nursing homes in European tax-funded and SHI-funded health systems provide care for CKD patients, with costs varying depending on the country. Efforts are being made in some countries to shift service delivery responsibilities to municipal governments and to develop better strategies to integrate services for the chronically ill elderly, in order to keep them at home healthier and longer. Labor unions are also being integrated into provider innovation processes to help improve the quality of care for CKD patients.",2.253197193145752,0.03428571428571429,0.0,0.03428571428571429,0.46452475,0.0,0.7676767676767676,0.1565002809252058
General_LLM,What are characteristics of asthma?,"Asthma is characterized by chronic airway inflammation, variable airflow obstruction, bronchial hyperresponsiveness, and symptoms of wheezing, cough, chest tightness, and dyspnea.","Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to symptoms such as wheezing, shortness of breath, chest tightness, and coughing. Asthma can be triggered by various factors such as allergens, respiratory infections, exercise, cold air, and irritants. It is important for healthcare providers to elicit a thorough medical history from patients with asthma to understand their triggers, symptoms, and treatment preferences in order to provide personalized care.",2.143724203109741,0.31578947368421056,0.08602150537634408,0.23157894736842102,0.8788823,1.0,0.4406779661016949,0.600506791942998
General_LLM,What is the treatment approach for asthma?,"Asthma treatment follows stepwise approach with inhaled corticosteroids as controller therapy, short-acting beta-agonists for rescue, and additional medications for severe cases.","The treatment approach for asthma involves eliciting patients' expectations and concerns, correcting misunderstandings, and persuading them to accept beneficial therapies. Physicians should strive to prescribe affordable medications that are acceptable to the patient, considering their insurance coverage and discussing available alternatives. Follow-up should be done to explore whether cost and affordability are obstacles to medication adherence. Physicians may advocate for coverage of nonformulary products if formulary drugs are less effective, not tolerated, or too costly for the patient. Treatment decisions should be shared with the patient to the extent possible.",2.006560802459717,0.17543859649122806,0.0,0.10526315789473685,0.5980084,0.6666666666666666,0.7647058823529411,0.3829112902022245
Medical_LLM,What are the main symptoms of diabetes mellitus?,"The main symptoms of diabetes mellitus include polyuria (frequent urination), polydipsia (excessive thirst), polyphagia (increased hunger), unexplained weight loss, fatigue, and blurred vision.","Diabetes mellitus is characterized by a spectrum of symptoms that can vary based on the type (Type 1 or Type 2) and the duration of the disease. The main symptoms include:

1. **Polyuria**: Increased urination due to osmotic diuresis caused by elevated blood glucose levels leading to glucosuria.

2. **Polydipsia**: Excessive thirst resulting from dehydration secondary to polyuria.

3. **Polyphagia**: Increased hunger due to cellular starvation as glucose is not effectively utilized by the cells.

4. **Fatigue**: Generalized weakness and fatigue can occur due to the inability of glucose to enter cells, leading to energy depletion.

5. **Blurred Vision**: Changes in fluid balance can lead to swelling of the lens of the eye, causing refractive errors.

6. **Weight Loss**: Particularly in Type 1 diabetes, weight loss can occur due to the breakdown of fat and muscle for energy when insulin is insufficient.

7. **Slow Healing of Wounds**: Impaired wound healing can result from poor blood flow and neuropathy.

8. **Recurrent Infections**: Increased susceptibility to infections, particularly urinary tract infections and skin infections, due to immune dysfunction and hyperglycemia.

9. **Tingling or Numbness**: Peripheral neuropathy can manifest as tingling, numbness, or pain in the extremities.

In addition to these classic symptoms, patients may also present with complications such as diabetic ketoacidosis (DKA) in Type 1 diabetes, characterized by abdominal pain, nausea, vomiting, and altered mental status, or hyperglycemic hyperosmolar state (HHS) in Type 2 diabetes, which may present with severe dehydration and altered consciousness.

Clinical guidelines recommend regular monitoring of blood glucose levels, HbA1c testing, and patient education on recognizing these symptoms for early intervention and management. The American Diabetes Association (ADA) suggests maintaining an HbA1",18.22645926475525,0.14093959731543626,0.06081081081081081,0.10738255033557047,0.84314275,1.0,0.21666666666666667,0.5150233612764601
Medical_LLM,What causes Type 1 diabetes?,"Type 1 diabetes is caused by autoimmune destruction of pancreatic beta cells, leading to absolute insulin deficiency requiring lifelong insulin therapy.","Type 1 diabetes mellitus (T1DM) is primarily characterized by autoimmune destruction of insulin-producing beta cells in the pancreas, leading to absolute insulin deficiency. The pathogenesis involves a complex interplay of genetic predisposition and environmental triggers. 

1. **Genetic Factors**: T1DM is associated with specific human leukocyte antigen (HLA) class II alleles, particularly HLA-DR3 and HLA-DR4. These genetic markers increase susceptibility to autoimmune processes.

2. **Autoimmune Mechanism**: The autoimmune attack is mediated by T lymphocytes, which recognize and destroy beta cells. This process is often preceded by the presence of autoantibodies, including:
   - Glutamic acid decarboxylase antibodies (GAD65)
   - Insulin autoantibodies (IAA)
   - Islet cell cytoplasmic autoantibodies (ICA)
   - Insulinoma-associated antigen 2 antibodies (IA-2A)

3. **Environmental Triggers**: Various environmental factors may precipitate the onset of T1DM in genetically predisposed individuals. These include viral infections (e.g., enteroviruses such as Coxsackie B virus), dietary factors (e.g., early exposure to cow's milk), and possibly other immunological triggers.

4. **Clinical Presentation**: Patients typically present with symptoms of hyperglycemia, including polyuria, polydipsia, polyphagia, and weight loss. Diabetic ketoacidosis (DKA) may be the initial presentation in some cases, characterized by elevated blood glucose levels, ketonuria, metabolic acidosis, and electrolyte imbalances.

5. **Management**: The cornerstone of management for T1DM is exogenous insulin therapy, which must be tailored to the individual’s needs. Continuous glucose monitoring (CGM) and insulin pump therapy may be utilized to optimize glycemic control. The American Diabetes Association (ADA) recommends maintaining a target hemoglobin A",12.32588267326355,0.12878787878787878,0.08396946564885496,0.12878787878787878,0.7757807,1.0,0.2,0.49712814273256245
Medical_LLM,How is hypertension diagnosed?,Hypertension is diagnosed when systolic blood pressure is ≥140 mmHg or diastolic blood pressure is ≥90 mmHg on multiple occasions.,"Hypertension is diagnosed based on the measurement of blood pressure using a sphygmomanometer, following established clinical guidelines. The diagnosis is confirmed when a patient exhibits consistently elevated blood pressure readings across multiple visits. According to the American College of Cardiology/American Heart Association (ACC/AHA) guidelines, hypertension is defined as having a systolic blood pressure (SBP) of 130 mmHg or higher and/or a diastolic blood pressure (DBP) of 80 mmHg or higher.

**Diagnostic Protocol:**

1. **Initial Assessment:**
   - Measure blood pressure in both arms using an appropriate-sized cuff after the patient has been seated quietly for at least 5 minutes.
   - Ensure the patient is not experiencing acute stress, has not consumed caffeine or tobacco within 30 minutes, and is not in pain.

2. **Classification:**
   - Normal: SBP < 120 mmHg and DBP < 80 mmHg
   - Elevated: SBP 120-129 mmHg and DBP < 80 mmHg
   - Hypertension Stage 1: SBP 130-139 mmHg or DBP 80-89 mmHg
   - Hypertension Stage 2: SBP ≥ 140 mmHg or DBP ≥ 90 mmHg

3. **Confirmatory Measurements:**
   - Blood pressure should be measured on at least two separate occasions, ideally over a period of weeks, to confirm the diagnosis.
   - Ambulatory blood pressure monitoring (ABPM) or home blood pressure monitoring (HBPM) may be utilized for further confirmation, particularly in cases of suspected white coat hypertension or masked hypertension.

4. **Assessment of Target Organ Damage:**
   - Evaluate for signs of end-organ damage, including but not limited to:
     - Left ventricular hypertrophy (via ECG or echocardiogram)
     - Renal function tests (serum creatinine, estimated glomerular filtration rate)",8.642491102218628,0.14814814814814814,0.06716417910447761,0.12592592592592594,0.6513655,1.0,0.27607361963190186,0.46392817408950243
Medical_LLM,What are first-line treatments for hypertension?,"First-line treatments for hypertension include lifestyle modifications and medications such as ACE inhibitors, ARBs, thiazide diuretics, and calcium channel blockers.","First-line treatments for hypertension, according to the 2022 American College of Cardiology/American Heart Association (ACC/AHA) Hypertension Guidelines, include the following classes of antihypertensive medications:

1. **Thiazide Diuretics**: Hydrochlorothiazide (HCTZ) is commonly used, typically at a dosage of 12.5 to 25 mg orally once daily. Thiazide diuretics are effective in reducing blood pressure and have been shown to decrease cardiovascular morbidity and mortality.

2. **Angiotensin-Converting Enzyme (ACE) Inhibitors**: Lisinopril is a frequently prescribed ACE inhibitor, with a standard starting dose of 10 mg orally once daily, which can be titrated up to 40 mg based on blood pressure response and tolerability. ACE inhibitors are particularly beneficial in patients with comorbid conditions such as diabetes or heart failure.

3. **Angiotensin II Receptor Blockers (ARBs)**: Losartan is an example of an ARB, typically initiated at 50 mg orally once daily, with a maximum dose of 100 mg. ARBs are an alternative for patients who experience cough with ACE inhibitors.

4. **Calcium Channel Blockers (CCBs)**: Amlodipine is a commonly used CCB, starting at a dose of 5 mg orally once daily, which can be increased to 10 mg. CCBs are effective in managing hypertension and are particularly useful in older adults.

The choice of first-line therapy may be influenced by patient-specific factors, including age, race, presence of comorbidities, and potential side effects. For instance, thiazide diuretics are often favored in older adults and in African American populations due to their efficacy in these groups.

In patients with stage 1 hypertension (systolic BP 130-139 mmHg or diastolic BP 80-89 mmHg) who have a",7.898005485534668,0.13194444444444445,0.06293706293706294,0.09722222222222224,0.70396173,1.0,0.27607361963190186,0.46848018566767374
Medical_LLM,What causes myocardial infarction?,"Myocardial infarction is typically caused by atherosclerotic plaque rupture with subsequent thrombosis, leading to coronary artery occlusion and myocardial ischemia.","Myocardial infarction (MI) is primarily caused by acute coronary atherothrombosis, which leads to the obstruction of coronary blood flow. The underlying pathophysiology typically involves the rupture or erosion of an atherosclerotic plaque within a coronary artery, resulting in the formation of a thrombus that can partially or completely occlude the vessel. This occlusion disrupts the oxygen supply to the myocardial tissue, leading to ischemia and subsequent necrosis if the ischemic episode persists for a duration sufficient to cause irreversible cellular injury, generally recognized as 20 minutes or more.

There are two main types of myocardial infarction classified by the underlying mechanism:

1. **Type 1 MI**: This is the classic presentation of MI due to acute coronary thrombosis. It is characterized by the presence of a thrombus that obstructs a coronary artery, leading to ST-segment elevation on the electrocardiogram (ECG) in cases of complete occlusion (ST-Elevation Myocardial Infarction, STEMI) or non-ST elevation (Non-ST Elevation Myocardial Infarction, NSTEMI) when the occlusion is partial.

2. **Type 2 MI**: This occurs due to a mismatch between myocardial oxygen supply and demand, which can be precipitated by various factors such as severe anemia, hypotension, tachyarrhythmias, or increased myocardial oxygen demand due to physical exertion or psychological stress. In these cases, there is no acute coronary thrombosis, but myocardial injury occurs due to other mechanisms.

Additional non-atherosclerotic causes of myocardial ischemia that can lead to MI include:
- Coronary artery spasm (Prinzmetal's angina)
- Myocardial bridging
- Coronary arteritis
- Congenital coronary anomalies
- Radiation-induced coronary disease

Risk factors for the development of atherosclerosis and subsequent MI include hyperlipidemia, hypertension, diabetes mellitus, smoking, sedentary",8.589211463928223,0.1310344827586207,0.041666666666666664,0.10344827586206895,0.6863709,1.0,0.5157232704402516,0.46453196241937833
Medical_LLM,What is the treatment for STEMI?,"STEMI treatment includes immediate reperfusion with primary PCI or fibrinolytics, dual antiplatelet therapy, anticoagulation, beta-blockers, ACE inhibitors, and statins.","The treatment for ST-Elevation Myocardial Infarction (STEMI) is time-sensitive and involves a combination of pharmacological and procedural interventions aimed at restoring coronary blood flow, minimizing myocardial damage, and preventing complications. The following evidence-based approach is recommended:

1. **Immediate Management**:
   - **Aspirin**: Administer 160-325 mg of chewable aspirin as soon as STEMI is suspected to inhibit platelet aggregation.
   - **Antiplatelet Therapy**: In addition to aspirin, administer a P2Y12 inhibitor (e.g., clopidogrel 600 mg loading dose or ticagrelor 180 mg loading dose) to further reduce thrombus formation.
   - **Anticoagulation**: Initiate anticoagulation with unfractionated heparin (60-70 units/kg IV bolus, followed by 12-15 units/kg/hour infusion) or low molecular weight heparin (e.g., enoxaparin 1 mg/kg SC every 12 hours).

2. **Reperfusion Therapy**:
   - **Primary Percutaneous Coronary Intervention (PCI)**: This is the preferred method of reperfusion therapy if it can be performed within 90-120 minutes of first medical contact. The goal is to achieve TIMI grade 3 flow in the affected coronary artery.
   - **Thrombolytic Therapy**: If PCI is not available within the recommended timeframe, thrombolytics (e.g., alteplase 15 mg IV bolus, followed by 0.75 mg/kg over 30 minutes, then 0.5 mg/kg over 60 minutes, maximum 100 mg) may be administered, ideally within 12 hours of symptom onset.

3. **Adjunctive Medications**:
   - **Beta-Blockers**: Initiate oral beta-blocker therapy (e.g., metoprolol 25-50 mg orally every 6-",9.488277196884155,0.11811023622047243,0.015873015873015872,0.06299212598425198,0.6653995,1.0,0.1509433962264151,0.44489543808726817
Medical_LLM,What are common causes of pneumonia?,"Common causes of community-acquired pneumonia include Streptococcus pneumoniae, Haemophilus influenzae, Mycoplasma pneumoniae, and Chlamydophila pneumoniae.","Pneumonia is an inflammatory condition of the lung parenchyma, typically caused by infectious agents. The common etiological agents can be categorized into several groups:

1. **Bacterial Pneumonia**: 
   - **Streptococcus pneumoniae**: The most common cause of community-acquired pneumonia (CAP).
   - **Haemophilus influenzae**: Particularly in patients with underlying lung disease.
   - **Mycoplasma pneumoniae**: Often associated with atypical pneumonia, especially in younger populations.
   - **Chlamydia pneumoniae**: Another atypical pathogen, commonly seen in younger adults.
   - **Legionella pneumophila**: Associated with outbreaks, particularly in contaminated water sources.
   - **Staphylococcus aureus**: Including methicillin-resistant Staphylococcus aureus (MRSA), often seen in post-influenza pneumonia.

2. **Viral Pneumonia**: 
   - **Influenza virus**: A significant cause of viral pneumonia, particularly in the elderly and immunocompromised.
   - **Respiratory syncytial virus (RSV)**: Common in infants and young children.
   - **Coronaviruses**: Including SARS-CoV-2, which has led to the COVID-19 pandemic.
   - **Adenoviruses**: Can cause pneumonia in all age groups.

3. **Fungal Pneumonia**: 
   - **Histoplasma capsulatum**: Common in certain geographic areas, particularly the Midwest of the United States.
   - **Coccidioides immitis**: Endemic to the southwestern United States.
   - **Cryptococcus neoformans**: Often seen in immunocompromised patients, particularly those with HIV/AIDS.

4. **Aspiration Pneumonia**: 
   - Caused by the inhalation of oropharyngeal contents, often involving anaerobic bacteria such as **",7.4990315437316895,0.1435406698564593,0.07729468599033816,0.11483253588516747,0.7566627,1.0,0.2692307692307692,0.4915921193560915
Medical_LLM,How is pneumonia treated?,"Pneumonia treatment includes appropriate antibiotics based on severity and likely pathogens, plus supportive care with oxygen therapy and fluid management.","The treatment of pneumonia is guided by the etiology (bacterial, viral, or atypical), severity of illness, and the patient's underlying health conditions. The following outlines the general approach to the management of pneumonia, primarily focusing on community-acquired pneumonia (CAP) and hospital-acquired pneumonia (HAP).

### Community-Acquired Pneumonia (CAP)

1. **Outpatient Treatment**:
   - **First-line Antibiotics**: 
     - For previously healthy adults without recent antibiotic use: Amoxicillin 1 g orally three times daily or doxycycline 100 mg orally twice daily.
     - For patients with comorbidities (e.g., chronic lung disease, diabetes): Amoxicillin-clavulanate 875 mg/125 mg orally twice daily or a respiratory fluoroquinolone (e.g., moxifloxacin 400 mg orally once daily).
   - **Duration**: Typically 5-7 days, guided by clinical response.

2. **Inpatient Treatment**:
   - **Non-severe CAP**: 
     - Ceftriaxone 1-2 g IV daily plus azithromycin 500 mg IV daily or a respiratory fluoroquinolone (e.g., levofloxacin 750 mg IV daily).
   - **Severe CAP**: 
     - Combination therapy with ceftriaxone 1-2 g IV daily or cefotaxime 1-2 g IV every 8 hours plus azithromycin 500 mg IV daily or a respiratory fluoroquinolone.
   - **Duration**: 5-7 days, but may be extended based on clinical judgment.

### Hospital-Acquired Pneumonia (HAP) and Ventilator-Associated Pneumonia (VAP)

1. **Empirical Therapy**:
   - **Risk Factors for Multi-Drug Resistant Organisms (MDR)**: Consideration of local antibiograms is essential.
   - **Initial Regimen",6.182533502578735,0.10126582278481014,0.00851063829787234,0.059071729957805914,0.67164207,1.0,0.23622047244094488,0.4415770077001193
