model,question_id,question,category,reference_answer,generated_answer,response_time,rouge1,rouge2,rougeL,semantic_similarity,medical_accuracy,retrieval_relevance,groundedness,overall_accuracy
Baseline_Model,10,What are the main characteristics of asthma?,pulmonology,"Asthma is characterized by chronic airway inflammation, variable airflow obstruction, bronchial hyperresponsiveness, and symptoms of wheezing, cough, chest tightness, and dyspnea.","Knowing what kind of insurance, if any, the patient has and whether certain medications are likely to be covered may help in determining appropriate prescriptions. A hurried approach may lead patients to believe that what they are relating is not of importance to the physician, and, as a result, they may withhold relevant information. It may be reasonable for physicians to advocate for coverage of nonformulary products for sound reasons, such as when the formulary drugs are less effective or not tolerated or are too costly for the patient to pay for out of pocket.",0.010170698165893555,0.06896551724137931,0.0,0.05172413793103449,0.1461072,0.0,0.7142857142857143,1.0,0.21452181421477218
Baseline_Model,11,What is the stepwise treatment approach for asthma?,pulmonology,"Asthma treatment follows a stepwise approach with inhaled corticosteroids as controller therapy, short-acting beta-agonists for rescue, and additional medications like long-acting bronchodilators for severe cases.","■ PRIORITIZING PREVENTION STRATEGIES In secondary prevention, the patient already has manifest clinical disease and is therefore at high risk for progression. In patients who are eligible for primary prevention strategies, it is important to frame the discussion around the overall evidence base as well as an individual patient’s likelihood of benefit from a given preventive intervention. A first step is to understand the patient’s estimated absolute risk for disease in the foreseeable future or during their remaining life span.",0.010273456573486328,0.09174311926605504,0.0,0.03669724770642202,0.16990334,0.0,0.625,1.0,0.22849393716645897
General_LLM,0,What are the main symptoms of diabetes mellitus?,endocrinology,"The main symptoms of diabetes mellitus include polyuria (frequent urination), polydipsia (excessive thirst), polyphagia (increased hunger), unexplained weight loss, fatigue, and blurred vision.","Diabetes commonly presents with increased thirst, frequent urination, fatigue, and sometimes weight changes. These symptoms occur due to elevated blood glucose levels affecting normal body functions.",0.01053619384765625,0.36734693877551017,0.0851063829787234,0.20408163265306123,0.837432,1.0,0.625,0.38461538461538464,0.6691259973838901
General_LLM,1,What causes Type 1 diabetes?,endocrinology,"Type 1 diabetes is caused by autoimmune destruction of pancreatic beta cells, leading to absolute insulin deficiency and requiring lifelong insulin therapy.","Diabetes can be caused by various factors including genetic predisposition, autoimmune processes, and lifestyle factors that affect insulin production or function.",0.011148929595947266,0.2790697674418604,0.04878048780487805,0.2790697674418604,0.7172316,0.6666666666666666,0.6,0.5,0.5405570684015288
General_LLM,2,How is hypertension diagnosed and classified?,cardiology,Hypertension is diagnosed when systolic blood pressure is ≥140 mmHg or diastolic blood pressure is ≥90 mmHg on multiple occasions. It is classified as primary (essential) or secondary hypertension.,Hypertension is diagnosed by measuring blood pressure on multiple occasions and finding consistently elevated readings above normal ranges.,0.009635686874389648,0.3404255319148936,0.22222222222222224,0.3404255319148936,0.64364576,1.0,0.6666666666666666,0.5555555555555556,0.6285547219269665
General_LLM,3,What are the first-line treatments for hypertension?,cardiology,"First-line treatments for hypertension include lifestyle modifications (diet, exercise, weight loss) and medications such as ACE inhibitors, ARBs, thiazide diuretics, and calcium channel blockers.","Hypertension is typically managed through lifestyle changes like diet and exercise, along with medications that help lower blood pressure and reduce cardiovascular risk.",0.01038050651550293,0.2916666666666667,0.0,0.24999999999999994,0.7280061,1.0,0.7142857142857143,0.7272727272727273,0.6649927464398471
General_LLM,4,What causes myocardial infarction?,cardiology,"Myocardial infarction is typically caused by atherosclerotic plaque rupture with subsequent thrombosis, leading to coronary artery occlusion and insufficient myocardial oxygen supply.","Heart attacks occur when blood flow to the heart muscle is blocked, usually by blood clots in coronary arteries. This can cause chest pain and requires immediate medical attention.",0.009001970291137695,0.27450980392156865,0.04081632653061224,0.19607843137254902,0.53260505,0.0,0.5,0.7037037037037037,0.34769001233032326
General_LLM,5,What are the key treatments for STEMI?,cardiology,"Key treatments for STEMI include immediate reperfusion therapy with primary PCI or thrombolytics, antiplatelet agents (aspirin, clopidogrel), anticoagulation, and supportive medications.",This medical condition involves complex physiological processes that require proper evaluation and treatment by healthcare professionals based on individual patient factors.,0.010068416595458984,0.14285714285714285,0.0,0.047619047619047616,0.190792,0.0,0.5714285714285714,0.6190476190476191,0.19295188401426588
General_LLM,6,What are the most common causes of community-acquired pneumonia?,pulmonology,"The most common causes of community-acquired pneumonia are Streptococcus pneumoniae, Haemophilus influenzae, Mycoplasma pneumoniae, and Chlamydophila pneumoniae.","Pneumonia is a lung infection that causes inflammation and can be caused by bacteria, viruses, or other pathogens. Treatment typically involves antibiotics and supportive care.",0.009495735168457031,0.13953488372093023,0.0,0.09302325581395349,0.6779952,1.0,0.6666666666666666,0.625,0.5890090265939403
General_LLM,7,How is pneumonia diagnosed and treated?,pulmonology,"Pneumonia is diagnosed through clinical symptoms, physical examination, and chest X-ray showing consolidation. Treatment includes appropriate antibiotics based on severity and likely pathogens, plus supportive care.","Pneumonia is a lung infection that causes inflammation and can be caused by bacteria, viruses, or other pathogens. Treatment typically involves antibiotics and supportive care.",0.010513544082641602,0.34615384615384615,0.08,0.30769230769230765,0.7332725,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5779945683784974
General_LLM,8,What are the main causes of chronic kidney disease?,nephrology,"The main causes of chronic kidney disease include diabetes mellitus, hypertension, glomerulonephritis, and polycystic kidney disease.",Kidney disease involves gradual loss of kidney function over time. Management focuses on slowing progression and treating complications through medications and lifestyle changes.,0.010510921478271484,0.2564102564102564,0.05405405405405406,0.15384615384615383,0.62547946,0.4,0.6666666666666666,0.38095238095238093,0.42170977199470605
General_LLM,9,How is chronic kidney disease managed?,nephrology,"CKD management includes treating underlying causes, controlling blood pressure and diabetes, dietary modifications, treating complications like anemia and bone disease, and eventually renal replacement therapy.",Kidney disease involves gradual loss of kidney function over time. Management focuses on slowing progression and treating complications through medications and lifestyle changes.,0.011055231094360352,0.24999999999999994,0.043478260869565216,0.20833333333333331,0.64290583,0.16666666666666666,0.5,0.5238095238095238,0.38810984463918774
General_LLM,10,What are the main characteristics of asthma?,pulmonology,"Asthma is characterized by chronic airway inflammation, variable airflow obstruction, bronchial hyperresponsiveness, and symptoms of wheezing, cough, chest tightness, and dyspnea.",Asthma is a respiratory condition causing breathing difficulties due to airway inflammation. Treatment includes inhalers and avoiding triggers that worsen symptoms.,0.010042190551757812,0.2857142857142857,0.10000000000000002,0.2857142857142857,0.76269585,0.6666666666666666,0.7142857142857143,0.38095238095238093,0.5383325642063505
General_LLM,11,What is the stepwise treatment approach for asthma?,pulmonology,"Asthma treatment follows a stepwise approach with inhaled corticosteroids as controller therapy, short-acting beta-agonists for rescue, and additional medications like long-acting bronchodilators for severe cases.",Asthma is a respiratory condition causing breathing difficulties due to airway inflammation. Treatment includes inhalers and avoiding triggers that worsen symptoms.,0.009147405624389648,0.20408163265306123,0.0,0.16326530612244897,0.60995024,0.6666666666666666,0.625,0.38095238095238093,0.4680190869334604
Medical_LLM,0,What are the main symptoms of diabetes mellitus?,endocrinology,"The main symptoms of diabetes mellitus include polyuria (frequent urination), polydipsia (excessive thirst), polyphagia (increased hunger), unexplained weight loss, fatigue, and blurred vision.","The classic symptoms of diabetes mellitus include polyuria (frequent urination), polydipsia (excessive thirst), polyphagia (increased appetite), unexplained weight loss, fatigue, and blurred vision. These symptoms result from hyperglycemia and its metabolic consequences.",0.00951075553894043,0.7636363636363634,0.679245283018868,0.7636363636363634,0.9790583,1.0,0.625,0.3333333333333333,0.822808406678113
Medical_LLM,1,What causes Type 1 diabetes?,endocrinology,"Type 1 diabetes is caused by autoimmune destruction of pancreatic beta cells, leading to absolute insulin deficiency and requiring lifelong insulin therapy.","Type 1 diabetes is caused by autoimmune destruction of pancreatic beta cells, leading to absolute insulin deficiency. This process involves T-cell mediated destruction of islet cells, resulting in the need for lifelong insulin replacement therapy.",0.009158134460449219,0.6896551724137931,0.6071428571428571,0.6896551724137931,0.97053546,1.0,0.6,0.41935483870967744,0.8109604146708635
Medical_LLM,2,How is hypertension diagnosed and classified?,cardiology,Hypertension is diagnosed when systolic blood pressure is ≥140 mmHg or diastolic blood pressure is ≥90 mmHg on multiple occasions. It is classified as primary (essential) or secondary hypertension.,"Hypertension is diagnosed when systolic BP ≥140 mmHg or diastolic BP ≥90 mmHg on multiple occasions. Classification includes normal (<120/80), elevated (120-129/<80), stage 1 (130-139/80-89), and stage 2 (≥140/90) hypertension.",0.011079549789428711,0.4545454545454546,0.34375000000000006,0.4545454545454546,0.8762907,0.3333333333333333,0.6666666666666666,0.48148148148148145,0.5548063956125818
Medical_LLM,3,What are the first-line treatments for hypertension?,cardiology,"First-line treatments for hypertension include lifestyle modifications (diet, exercise, weight loss) and medications such as ACE inhibitors, ARBs, thiazide diuretics, and calcium channel blockers.","Hypertension treatment follows a stepwise approach including lifestyle modifications (DASH diet, weight reduction, exercise, sodium restriction) and pharmacotherapy with ACE inhibitors, ARBs, thiazide diuretics, or calcium channel blockers as first-line agents, with target BP <140/90 mmHg for most patients.",0.010051250457763672,0.6363636363636365,0.28125000000000006,0.4545454545454546,0.8803226,1.0,0.7142857142857143,0.42105263157894735,0.7681637583166788
Medical_LLM,4,What causes myocardial infarction?,cardiology,"Myocardial infarction is typically caused by atherosclerotic plaque rupture with subsequent thrombosis, leading to coronary artery occlusion and insufficient myocardial oxygen supply.","Myocardial infarction typically results from atherosclerotic plaque rupture with subsequent thrombosis, leading to coronary artery occlusion. This causes myocardial ischemia and necrosis when oxygen demand exceeds supply, most commonly in the LAD, RCA, or LCX territories.",0.010076045989990234,0.6551724137931034,0.39285714285714285,0.5862068965517242,0.8877117,0.0,0.5,0.7428571428571429,0.5742938066996964
Medical_LLM,5,What are the key treatments for STEMI?,cardiology,"Key treatments for STEMI include immediate reperfusion therapy with primary PCI or thrombolytics, antiplatelet agents (aspirin, clopidogrel), anticoagulation, and supportive medications.","many different genes, acting in an integrative contextual way, can affect the function of cells and organisms. Clinicians have developed a new appreciation of the role of stem cells in normal tissue function, in the development of cancer and other disorders, and in the treatment of certain diseases.",0.009640693664550781,0.057971014492753624,0.0,0.028985507246376812,0.3679585,0.0,0.5714285714285714,1.0,0.277778850171877
Medical_LLM,6,What are the most common causes of community-acquired pneumonia?,pulmonology,"The most common causes of community-acquired pneumonia are Streptococcus pneumoniae, Haemophilus influenzae, Mycoplasma pneumoniae, and Chlamydophila pneumoniae.","Community-acquired pneumonia is most commonly caused by Streptococcus pneumoniae, followed by Haemophilus influenzae, atypical organisms (Mycoplasma, Chlamydophila), and respiratory viruses. Hospital-acquired pneumonia involves gram-negative bacilli and MRSA.",0.010555744171142578,0.5416666666666666,0.17391304347826086,0.4166666666666667,0.87119323,1.0,0.6666666666666666,0.375,0.730107969045639
Medical_LLM,7,How is pneumonia diagnosed and treated?,pulmonology,"Pneumonia is diagnosed through clinical symptoms, physical examination, and chest X-ray showing consolidation. Treatment includes appropriate antibiotics based on severity and likely pathogens, plus supportive care.",Unable to generate response for this medical question.,0.011513710021972656,0.0,0.0,0.0,0.08532042,0.0,0.6666666666666666,0.5,0.1005961261689663
Medical_LLM,8,What are the main causes of chronic kidney disease?,nephrology,"The main causes of chronic kidney disease include diabetes mellitus, hypertension, glomerulonephritis, and polycystic kidney disease.","The leading causes of chronic kidney disease are diabetes mellitus (45%), hypertension (27%), glomerulonephritis, polycystic kidney disease, and interstitial nephritis. These conditions cause progressive nephron loss and declining GFR over time.",0.0105133056640625,0.5957446808510638,0.31111111111111117,0.5531914893617021,0.9434319,1.0,0.6666666666666666,0.41379310344827586,0.773821943928368
Medical_LLM,9,How is chronic kidney disease managed?,nephrology,"CKD management includes treating underlying causes, controlling blood pressure and diabetes, dietary modifications, treating complications like anemia and bone disease, and eventually renal replacement therapy.","CKD management includes: 1) Treating underlying disease, 2) BP control (<130/80), 3) Diabetes management (HbA1c <7%), 4) ACE inhibitor/ARB therapy, 5) Dietary protein restriction, 6) Treating complications (anemia, bone disease), 7) Preparing for RRT when GFR <15.",0.00997614860534668,0.4375,0.16129032258064516,0.40625000000000006,0.8147941,0.5,0.5,0.11428571428571428,0.5178310940946851
Medical_LLM,10,What are the main characteristics of asthma?,pulmonology,"Asthma is characterized by chronic airway inflammation, variable airflow obstruction, bronchial hyperresponsiveness, and symptoms of wheezing, cough, chest tightness, and dyspnea.","Asthma is characterized by chronic airway inflammation, variable airflow obstruction, bronchial hyperresponsiveness, and airway remodeling. Clinical symptoms include episodic wheezing, cough (often nocturnal), chest tightness, and dyspnea, with variability and reversibility being key features.",0.010032415390014648,0.7272727272727274,0.6037735849056605,0.7272727272727274,0.9375839,1.0,0.7142857142857143,0.2903225806451613,0.7930053822805455
Medical_LLM,11,What is the stepwise treatment approach for asthma?,pulmonology,"Asthma treatment follows a stepwise approach with inhaled corticosteroids as controller therapy, short-acting beta-agonists for rescue, and additional medications like long-acting bronchodilators for severe cases.","Asthma treatment follows GINA guidelines with stepwise approach: Step 1: SABA PRN, Step 2: Low-dose ICS, Step 3: ICS/LABA, Step 4: Medium/high-dose ICS/LABA, Step 5: Add-on therapies (LAMA, biologics). Controller therapy with ICS is cornerstone of treatment.",0.011104345321655273,0.22535211267605632,0.11594202898550725,0.1971830985915493,0.59434485,1.0,0.625,0.1935483870967742,0.5249413481737906
